Au (Gold) - Johnson and Christy 1

wavelength (nm), Im(eps)
234.936, 3.57916
234.721, 3.57307
234.507, 3.56701
234.293, 3.56096
234.08, 3.55494
233.867, 3.54894
233.654, 3.54296
233.442, 3.53701
233.23, 3.53107
233.018, 3.52516
232.807, 3.51927
232.596, 3.5134
232.386, 3.50756
232.176, 3.50173
231.966, 3.49592
231.757, 3.49014
231.548, 3.48438
231.343, 3.47874
231.339, 3.47863
231.131, 3.47291
230.923, 3.46721
230.716, 3.46153
230.509, 3.45587
230.302, 3.45023
230.096, 3.44461
229.89, 3.43901
229.685, 3.43343
229.479, 3.42787
229.275, 3.42233
229.07, 3.41681
228.866, 3.41131
228.662, 3.40583
228.459, 3.40037
228.256, 3.39493
228.053, 3.38951
227.851, 3.3841
227.649, 3.37872
227.448, 3.37335
227.246, 3.36801
227.045, 3.36268
226.845, 3.35737
226.645, 3.35208
226.445, 3.34681
226.277, 3.34239
226.246, 3.34155
226.047, 3.33632
225.848, 3.3311
225.649, 3.3259
225.451, 3.32072
225.254, 3.31556
225.056, 3.31041
224.859, 3.30528
224.663, 3.30017
224.466, 3.29508
224.27, 3.29001
224.075, 3.28495
223.879, 3.27991
223.685, 3.27489
223.49, 3.26988
223.296, 3.26489
223.102, 3.25992
222.908, 3.25496
222.715, 3.25002
222.522, 3.2451
222.329, 3.2402
222.137, 3.23531
221.945, 3.23044
221.754, 3.22558
221.562, 3.22074
221.429, 3.21736
221.371, 3.21592
221.181, 3.21111
220.991, 3.20632
220.801, 3.20155
220.611, 3.19679
220.422, 3.19205
220.233, 3.18732
220.044, 3.18261
219.856, 3.17791
219.668, 3.17323
219.48, 3.16856
219.293, 3.16391
219.106, 3.15928
218.919, 3.15466
218.733, 3.15006
218.546, 3.14547
218.361, 3.14089
218.175, 3.13633
217.99, 3.13179
217.805, 3.12726
217.621, 3.12275
217.437, 3.11825
217.253, 3.11376
217.069, 3.10929
216.886, 3.10483
216.703, 3.10039
216.52, 3.09596
216.405, 3.09317
216.338, 3.09155
216.156, 3.08715
215.974, 3.08276
215.793, 3.07839
215.612, 3.07403
215.431, 3.06969
215.25, 3.06536
215.07, 3.06104
214.89, 3.05674
214.71, 3.05245
214.531, 3.04817
214.352, 3.04391
214.173, 3.03966
213.995, 3.03543
213.817, 3.0312
213.639, 3.02699
213.462, 3.0228
213.284, 3.01862
213.107, 3.01445
212.931, 3.01029
212.754, 3.00615
212.578, 3.00201
212.403, 2.9979
212.227, 2.99379
212.052, 2.9897
211.966, 2.98769
211.877, 2.98562
211.702, 2.98155
211.528, 2.97749
211.354, 2.97345
211.18, 2.96942
211.007, 2.9654
210.834, 2.9614
210.661, 2.9574
210.488, 2.95342
210.316, 2.94945
210.144, 2.94549
209.972, 2.94155
209.8, 2.93762
209.629, 2.93369
209.458, 2.92978
209.288, 2.92589
209.117, 2.922
208.947, 2.91812
208.777, 2.91426
208.608, 2.91041
208.439, 2.90657
208.27, 2.90274
208.101, 2.89892
207.932, 2.89512
207.764, 2.89132
207.596, 2.88754
207.429, 2.88376
207.358, 2.88217
207.261, 2.88
207.094, 2.87625
206.928, 2.87251
206.761, 2.86879
206.595, 2.86507
206.429, 2.86136
206.263, 2.85767
206.097, 2.85398
205.932, 2.85031
205.767, 2.84664
205.603, 2.84299
205.438, 2.83935
205.274, 2.83571
205.11, 2.83209
204.946, 2.82848
204.783, 2.82488
204.62, 2.82129
204.457, 2.81771
204.294, 2.81414
204.132, 2.81058
203.97, 2.80703
203.808, 2.80349
203.647, 2.79996
203.485, 2.79644
203.324, 2.79294
203.279, 2.79194
203.163, 2.78944
203.003, 2.78595
202.843, 2.78247
202.683, 2.779
202.523, 2.77554
202.363, 2.77209
202.204, 2.76865
202.045, 2.76522
201.886, 2.76179
201.728, 2.75838
201.569, 2.75498
201.411, 2.75159
201.253, 2.7482
201.096, 2.74483
200.939, 2.74146
200.782, 2.73811
200.625, 2.73476
200.468, 2.73143
200.312, 2.7281
200.156, 2.72478
200, 2.72147


Au (Gold) - Johnson and Christy 1

wavelength (nm), Im(eps)
1937.5, 25.3552
1610.39, 12.5552
1393.26, 8.18634
1215.69, 5.7015
1087.72, 3.861
984.127, 2.794
892.086, 1.92542
821.192, 1.62656
756.098, 1.27148
704.545, 1.06678
659.574, 1.03516
616.915, 1.37424
582.16, 1.66054
548.673, 2.1113
521.008, 2.58044
496, 3.81264
471.483, 4.84438
450.909, 5.28264
430.556, 5.6492
413.333, 5.71736
397.436, 5.73888
381.538, 5.64436
367.953, 5.6092
354.286, 5.598
342.541, 5.53816
331.551, 5.57368
320.413, 5.84584
310.777, 5.79258
300.971, 5.78034
292.453, 5.59644
284.404, 5.49486
276.169, 5.28242
268.98, 4.97628
261.603, 4.7223
255.144, 4.49008
248.996, 4.33846
242.661, 4.16328
237.094, 4.05504
231.343, 3.8922
226.277, 3.8252
221.429, 3.7102
216.405, 3.6062
211.966, 3.51
207.358, 3.3904
203.279, 3.39682
199.357, 3.32766
195.276, 3.28568
191.654, 3.17592
187.879, 3.04128


