Au (Gold) - Johnson and Christy 1

wavelength (nm), Re(eps)
312.73, -0.642219
312.35, -0.644982
311.971, -0.648178
311.592, -0.651785
311.215, -0.655776
310.838, -0.660127
310.777, -0.660871
310.463, -0.664815
310.088, -0.669817
309.714, -0.675109
309.341, -0.680669
308.969, -0.686477
308.598, -0.692512
308.228, -0.698755
307.858, -0.705185
307.49, -0.711786
307.122, -0.71854
306.755, -0.725431
306.39, -0.732442
306.025, -0.73956
305.66, -0.746769
305.297, -0.754057
304.935, -0.76141
304.573, -0.768817
304.212, -0.776266
303.853, -0.783746
303.494, -0.791248
303.136, -0.79876
302.778, -0.806276
302.422, -0.813785
302.066, -0.82128
301.711, -0.828753
301.357, -0.836197
301.004, -0.843606
300.971, -0.844308
300.652, -0.850974
300.301, -0.858293
299.95, -0.86556
299.6, -0.872768
299.251, -0.879914
298.903, -0.886992
298.556, -0.893999
298.209, -0.90093
297.863, -0.907783
297.518, -0.914553
297.174, -0.921238
296.831, -0.927835
296.488, -0.934341
296.146, -0.940753
295.805, -0.947071
295.465, -0.953291
295.126, -0.959412
294.787, -0.965432
294.449, -0.97135
294.112, -0.977164
293.776, -0.982873
293.44, -0.988477
293.105, -0.993973
292.771, -0.999363
292.453, -1.00441
292.438, -1.00464
292.105, -1.00982
291.773, -1.01488
291.442, -1.01983
291.112, -1.02467
290.783, -1.02941
290.454, -1.03403
290.126, -1.03854
289.799, -1.04294
289.472, -1.04724
289.146, -1.05142
288.821, -1.05549
288.497, -1.05946
288.173, -1.06331
287.85, -1.06706
287.528, -1.0707
287.207, -1.07423
286.886, -1.07765
286.566, -1.08097
286.246, -1.08418
285.928, -1.08729
285.61, -1.09029
285.293, -1.09319
284.976, -1.09598
284.66, -1.09868
284.404, -1.1008
284.345, -1.10127
284.031, -1.10376
283.717, -1.10616
283.404, -1.10845
283.092, -1.11065
282.78, -1.11275
282.469, -1.11475
282.159, -1.11666
281.85, -1.11848
281.541, -1.1202
281.232, -1.12183
280.925, -1.12337
280.618, -1.12482
280.312, -1.12618
280.006, -1.12745
279.701, -1.12864
279.397, -1.12974
279.094, -1.13075
278.791, -1.13168
278.488, -1.13253
278.187, -1.13329
277.886, -1.13398
277.586, -1.13458
277.286, -1.13511
276.987, -1.13556
276.689, -1.13593
276.391, -1.13622
276.169, -1.1364
276.094, -1.13645
275.798, -1.13659
275.502, -1.13667
275.207, -1.13667
274.912, -1.1366
274.618, -1.13646
274.325, -1.13626
274.032, -1.13598
273.74, -1.13564
273.449, -1.13523
273.158, -1.13476
272.868, -1.13422
272.578, -1.13362
272.29, -1.13296
272.001, -1.13223
271.714, -1.13145
271.426, -1.13061
271.14, -1.12971
270.854, -1.12875
270.569, -1.12773
270.284, -1.12666
270, -1.12553
269.717, -1.12435
269.434, -1.12312
269.151, -1.12183
268.98, -1.12103
268.87, -1.12049
268.588, -1.1191
268.308, -1.11766
268.028, -1.11618
267.749, -1.11464
267.47, -1.11306
267.192, -1.11143
266.914, -1.10975
266.637, -1.10803
266.361, -1.10626
266.085, -1.10445
265.809, -1.1026
265.535, -1.1007
265.26, -1.09876
264.987, -1.09679
264.714, -1.09477
264.441, -1.09271
264.169, -1.09061
263.898, -1.08848
263.627, -1.08631
263.357, -1.0841
263.087, -1.08186
262.818, -1.07958
262.549, -1.07726
262.281, -1.07491
262.014, -1.07253
261.747, -1.07011
261.603, -1.0688
261.48, -1.06767
261.214, -1.06519
260.949, -1.06268
260.684, -1.06013
260.42, -1.05756
260.156, -1.05496
259.893, -1.05233
259.63, -1.04967
259.368, -1.04699
259.107, -1.04427
258.846, -1.04153
258.585, -1.03877
258.325, -1.03597
258.065, -1.03316
257.806, -1.03031
257.548, -1.02745
257.29, -1.02456
257.033, -1.02164
256.776, -1.01871
256.519, -1.01575
256.263, -1.01277
256.008, -1.00976
255.753, -1.00674
255.499, -1.00369
255.245, -1.00063
255.144, -0.999406
254.991, -0.997546
254.739, -0.994442
254.486, -0.991319
254.234, -0.988178
253.983, -0.985018
253.732, -0.981841
253.482, -0.978647
253.232, -0.975435
252.983, -0.972207
252.734, -0.968962
252.485, -0.965702
252.237, -0.962425
251.99, -0.959134
251.743, -0.955828
251.497, -0.952508
251.251, -0.949173
251.005, -0.945824
250.76, -0.942462
250.515, -0.939087
250.271, -0.935698
250.028, -0.932298
249.785, -0.928885
249.542, -0.92546
249.3, -0.922023
249.058, -0.918575
248.996, -0.917685
248.817, -0.915116
248.576, -0.911646
248.336, -0.908165
248.096, -0.904675
247.857, -0.901174
247.618, -0.897663
247.379, -0.894144
247.141, -0.890615
246.904, -0.887077
246.667, -0.88353
246.43, -0.879975
246.194, -0.876412
245.958, -0.87284
245.723, -0.869261
245.488, -0.865675
245.254, -0.862081
245.02, -0.858481
244.786, -0.854873
244.553, -0.851259
244.321, -0.847638
244.089, -0.844012
243.857, -0.840379
243.626, -0.83674
243.395, -0.833096
243.164, -0.829447
242.934, -0.825793
242.705, -0.822133
242.661, -0.82144
242.476, -0.818469
242.247, -0.8148
242.019, -0.811126
241.791, -0.807449
241.564, -0.803767
241.337, -0.800082
241.11, -0.796392
240.884, -0.792699
240.658, -0.789003
240.433, -0.785304
240.208, -0.781601
239.984, -0.777896
239.76, -0.774188
239.536, -0.770477
239.313, -0.766764
239.091, -0.763048
238.868, -0.75933
238.646, -0.755611
238.425, -0.751889
238.204, -0.748166
237.983, -0.744441
237.763, -0.740714
237.543, -0.736986
237.323, -0.733257
237.104, -0.729527
237.094, -0.729344
236.886, -0.725796
236.668, -0.722065
236.45, -0.718332
236.232, -0.714599
236.015, -0.710865
235.799, -0.707131
235.582, -0.703397
235.366, -0.699663
235.151, -0.695928
234.936, -0.692194
234.721, -0.68846
234.507, -0.684726
234.293, -0.680993
234.08, -0.67726
233.867, -0.673527
233.654, -0.669796
233.442, -0.666065
233.23, -0.662335
233.018, -0.658606
232.807, -0.654878
232.596, -0.651151
232.386, -0.647425
232.176, -0.643701
231.966, -0.639978
231.757, -0.636257
231.548, -0.632537
231.343, -0.628891
231.339, -0.628819
231.131, -0.625103
230.923, -0.621388
230.716, -0.617676
230.509, -0.613965
230.302, -0.610256
230.096, -0.60655
229.89, -0.602846
229.685, -0.599143
229.479, -0.595444
229.275, -0.591746
229.07, -0.588051
228.866, -0.584359
228.662, -0.580669
228.459, -0.576982
228.256, -0.573298
228.053, -0.569616
227.851, -0.565937
227.649, -0.562261
227.448, -0.558588
227.246, -0.554918
227.045, -0.551251
226.845, -0.547588
226.645, -0.543927
226.445, -0.54027
226.277, -0.537198
226.246, -0.536615
226.047, -0.532965
225.848, -0.529317
225.649, -0.525673
225.451, -0.522033
225.254, -0.518396
225.056, -0.514762
224.859, -0.511132
224.663, -0.507506
224.466, -0.503884
224.27, -0.500265
224.075, -0.49665
223.879, -0.493039
223.685, -0.489431
223.49, -0.485828
223.296, -0.482228
223.102, -0.478633
222.908, -0.475041
222.715, -0.471454
222.522, -0.467871
222.329, -0.464291
222.137, -0.460716
221.945, -0.457145
221.754, -0.453579
221.562, -0.450016
221.429, -0.447523
221.371, -0.446458
221.181, -0.442904
220.991, -0.439355
220.801, -0.43581
220.611, -0.432269
220.422, -0.428733
220.233, -0.425201
220.044, -0.421674
