Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
355.586, 0.305527
355.095, 0.312618
354.605, 0.31982
354.286, 0.324577
354.116, 0.327135
353.628, 0.334564
353.142, 0.342108
352.657, 0.349767
352.174, 0.357544
351.692, 0.365438
351.211, 0.373452
350.731, 0.381586
350.253, 0.389841
349.776, 0.398219
349.301, 0.40672
348.826, 0.415346
348.353, 0.424097
347.882, 0.432974
347.411, 0.44198
346.942, 0.451114
346.474, 0.460378
346.007, 0.469772
345.542, 0.479299
345.078, 0.488958
344.615, 0.498751
344.153, 0.508679
343.693, 0.518743
343.233, 0.528943
342.775, 0.539282
342.541, 0.544628
342.319, 0.549759
341.863, 0.560376
341.409, 0.571133
340.956, 0.582032
340.504, 0.593074
340.053, 0.604259
339.603, 0.615588
339.155, 0.627062
338.708, 0.638683
338.262, 0.65045
337.817, 0.662364
337.373, 0.674427
336.931, 0.68664
336.49, 0.699001
336.049, 0.711514
335.61, 0.724178
335.172, 0.736993
334.736, 0.749961
334.3, 0.763083
333.866, 0.776358
333.432, 0.789787
333, 0.803371
332.569, 0.81711
332.139, 0.831005
331.71, 0.845056
331.551, 0.850321
331.282, 0.859263
330.856, 0.873628
330.43, 0.888149
330.006, 0.902828
329.582, 0.917664
329.16, 0.932658
328.739, 0.947809
328.318, 0.963119
327.899, 0.978587
327.481, 0.994212
327.064, 1.01
326.649, 1.02594
326.234, 1.04204
325.82, 1.05829
325.407, 1.07471
324.995, 1.09128
324.585, 1.108
324.175, 1.12488
323.767, 1.14192
323.359, 1.15912
322.953, 1.17646
322.547, 1.19396
322.143, 1.21162
321.739, 1.22942
321.337, 1.24738
320.935, 1.26548
320.535, 1.28374
320.413, 1.28931
320.135, 1.30214
319.737, 1.3207
319.339, 1.33939
318.943, 1.35823
318.547, 1.37722
318.153, 1.39634
317.759, 1.41561
317.367, 1.43501
316.975, 1.45455
316.585, 1.47422
316.195, 1.49403
315.806, 1.51397
315.418, 1.53404
315.032, 1.55423
314.646, 1.57455
314.261, 1.595
313.877, 1.61556
313.494, 1.63624
313.112, 1.65703
312.73, 1.67794
312.35, 1.69896
311.971, 1.72008
311.592, 1.74131
311.215, 1.76264
310.838, 1.78407
310.777, 1.78758
310.463, 1.8056
310.088, 1.82721
309.714, 1.84892
309.341, 1.87071
308.969, 1.89258
308.598, 1.91453
308.228, 1.93656
307.858, 1.95866
307.49, 1.98082
307.122, 2.00305
306.755, 2.02534
306.39, 2.04768
306.025, 2.07008
305.66, 2.09252
305.297, 2.11501
304.935, 2.13754
304.573, 2.1601
304.212, 2.18269
303.853, 2.20531
303.494, 2.22795
